56,32.0,"[('average_q', 5.959232641186137), ('average_loss', 0.35014432519339644), ('n_updates', 1351)]"
57,51.0,"[('average_q', 6.310208274840311), ('average_loss', 0.3699745061926717), ('n_updates', 1402)]"
58,34.0,"[('average_q', 6.561913232331953), ('average_loss', 0.38169395410804646), ('n_updates', 1436)]"
59,62.0,"[('average_q', 6.987602717748391), ('average_loss', 0.36222640288020747), ('n_updates', 1498)]"
60,40.0,"[('average_q', 7.280602380963091), ('average_loss', 0.3819717935312039), ('n_updates', 1538)]"
61,29.0,"[('average_q', 7.493056187945617), ('average_loss', 0.36000053525105064), ('n_updates', 1567)]"
62,49.0,"[('average_q', 7.845585738125694), ('average_loss', 0.3995583154367718), ('n_updates', 1616)]"
63,123.0,"[('average_q', 8.758050592084384), ('average_loss', 0.4161002922916017), ('n_updates', 1739)]"
64,31.0,"[('average_q', 8.984594731618257), ('average_loss', 0.4193067784681393), ('n_updates', 1770)]"
65,40.0,"[('average_q', 9.277039933956312), ('average_loss', 0.4271714586913094), ('n_updates', 1810)]"
66,34.0,"[('average_q', 9.543651965663841), ('average_loss', 0.43491617188413684), ('n_updates', 1844)]"
67,51.0,"[('average_q', 9.919232197107252), ('average_loss', 0.4249710380137384), ('n_updates', 1895)]"
68,59.0,"[('average_q', 10.376054179159741), ('average_loss', 0.4564444455436043), ('n_updates', 1954)]"
69,47.0,"[('average_q', 10.721152727561114), ('average_loss', 0.4227846069148373), ('n_updates', 2001)]"
70,32.0,"[('average_q', 10.976619754633731), ('average_loss', 0.4189538725151595), ('n_updates', 2033)]"
71,36.0,"[('average_q', 11.253058437872852), ('average_loss', 0.47697639418413973), ('n_updates', 2069)]"
72,57.0,"[('average_q', 11.693845519250553), ('average_loss', 0.5041688902912411), ('n_updates', 2126)]"
73,28.0,"[('average_q', 11.907575618362475), ('average_loss', 0.5025277151580411), ('n_updates', 2154)]"
74,50.0,"[('average_q', 12.28190266048892), ('average_loss', 0.5093510329284681), ('n_updates', 2204)]"
75,30.0,"[('average_q', 12.519949003816198), ('average_loss', 0.5322741303501953), ('n_updates', 2234)]"
76,28.0,"[('average_q', 12.73394875764125), ('average_loss', 0.5402779050939965), ('n_updates', 2262)]"
77,49.0,"[('average_q', 13.103400900464063), ('average_loss', 0.5493861651411919), ('n_updates', 2311)]"
78,35.0,"[('average_q', 13.383037110488663), ('average_loss', 0.5742318139378444), ('n_updates', 2346)]"
79,46.0,"[('average_q', 13.728970165420401), ('average_loss', 0.5453640181963681), ('n_updates', 2392)]"
80,51.0,"[('average_q', 14.126716649604546), ('average_loss', 0.5089029433688651), ('n_updates', 2443)]"
81,26.0,"[('average_q', 14.325309797782145), ('average_loss', 0.5397766893159383), ('n_updates', 2469)]"
82,53.0,"[('average_q', 14.72874181329555), ('average_loss', 0.6073274044291415), ('n_updates', 2522)]"
83,45.0,"[('average_q', 15.07653971215826), ('average_loss', 0.5570518051199154), ('n_updates', 2567)]"
84,35.0,"[('average_q', 15.335917463264023), ('average_loss', 0.572983310334764), ('n_updates', 2602)]"
85,69.0,"[('average_q', 15.878513663039955), ('average_loss', 0.5651882307428642), ('n_updates', 2671)]"
86,25.0,"[('average_q', 16.06525959346514), ('average_loss', 0.634056656955065), ('n_updates', 2696)]"
87,55.0,"[('average_q', 16.497128152517945), ('average_loss', 0.5679957701678126), ('n_updates', 2751)]"
88,42.0,"[('average_q', 16.815130120191135), ('average_loss', 0.5941717519829609), ('n_updates', 2793)]"
89,36.0,"[('average_q', 17.097343274939767), ('average_loss', 0.5943569451590932), ('n_updates', 2829)]"
90,28.0,"[('average_q', 17.313645284616534), ('average_loss', 0.5985987669683667), ('n_updates', 2857)]"
91,31.0,"[('average_q', 17.547289800633028), ('average_loss', 0.6420448099574648), ('n_updates', 2888)]"
92,26.0,"[('average_q', 17.74363367567654), ('average_loss', 0.6359019829670152), ('n_updates', 2914)]"
93,41.0,"[('average_q', 18.06122266512355), ('average_loss', 0.6480317221676658), ('n_updates', 2955)]"
94,52.0,"[('average_q', 18.44646710548216), ('average_loss', 0.6459737824632177), ('n_updates', 3007)]"
95,35.0,"[('average_q', 18.722258610843006), ('average_loss', 0.6389652582157593), ('n_updates', 3042)]"
96,26.0,"[('average_q', 18.91971714994469), ('average_loss', 0.6497438973635618), ('n_updates', 3068)]"
97,18.0,"[('average_q', 19.053265046223846), ('average_loss', 0.6695339456234924), ('n_updates', 3086)]"
