54,4.0,"[('average_q', 1.4003565958888484), ('average_loss', 0.013826066207853387), ('n_updates', 4312)]"
55,4.0,"[('average_q', 1.3889308307036294), ('average_loss', 0.012393063515833582), ('n_updates', 4487)]"
56,0.0,"[('average_q', 1.4133853579345483), ('average_loss', 0.013180819818988585), ('n_updates', 4510)]"
57,1.0,"[('average_q', 1.452743646254393), ('average_loss', 0.011990371490227242), ('n_updates', 4574)]"
58,2.0,"[('average_q', 1.4918786377973206), ('average_loss', 0.01336781856107114), ('n_updates', 4677)]"
59,0.0,"[('average_q', 1.5142463154162848), ('average_loss', 0.014387781871829515), ('n_updates', 4700)]"
60,0.0,"[('average_q', 1.5302877913626503), ('average_loss', 0.01331529266885656), ('n_updates', 4723)]"
61,2.0,"[('average_q', 1.5604154639515364), ('average_loss', 0.017542318242375884), ('n_updates', 4826)]"
62,3.0,"[('average_q', 1.5779306820175696), ('average_loss', 0.014057461764464338), ('n_updates', 4966)]"
63,2.0,"[('average_q', 1.6057163329237285), ('average_loss', 0.013853358295623617), ('n_updates', 5069)]"
64,4.0,"[('average_q', 1.582748460863013), ('average_loss', 0.014591469399568797), ('n_updates', 5244)]"
65,4.0,"[('average_q', 1.5050867142280981), ('average_loss', 0.015606854007582788), ('n_updates', 5419)]"
66,2.0,"[('average_q', 1.5493869279184447), ('average_loss', 0.01436875414189667), ('n_updates', 5522)]"
67,2.0,"[('average_q', 1.589877106380696), ('average_loss', 0.013548544264989736), ('n_updates', 5625)]"
68,2.0,"[('average_q', 1.6230542837894324), ('average_loss', 0.012185336586485424), ('n_updates', 5728)]"
69,3.0,"[('average_q', 1.6259445002343265), ('average_loss', 0.015781687630679893), ('n_updates', 5868)]"
70,2.0,"[('average_q', 1.66095616641855), ('average_loss', 0.015404523716594485), ('n_updates', 5971)]"
71,2.0,"[('average_q', 1.6950007935057794), ('average_loss', 0.01572830730715031), ('n_updates', 6074)]"
72,2.0,"[('average_q', 1.7219995110635744), ('average_loss', 0.017027533143893152), ('n_updates', 6177)]"
73,3.0,"[('average_q', 1.7164776402995925), ('average_loss', 0.016542252187853053), ('n_updates', 6317)]"
74,3.0,"[('average_q', 1.7215976645776838), ('average_loss', 0.015929742867754018), ('n_updates', 6457)]"
